,Frames,Angles,label
0,0,36.17730634,0
1,1,36.44942107,0
2,2,35.97740036,0
3,3,35.06914913,0
4,4,35.34134582,0
5,5,35.56403731,0
6,6,33.3540613,0
7,7,36.32027586,0
8,8,35.77634691,0
9,9,36.42898515,0
10,10,38.74676886,0
11,11,40.18638149,0
12,12,40.18782949,0
13,13,48.42364427,0
14,14,48.45621062,0
15,15,56.81133514,0
16,16,68.64441931,0
17,17,77.55986524,0
18,18,99.49048251,0
19,19,201.8098308,0
20,20,299.5628972,0
21,21,313.7519048,0
22,22,335.1429372,0
23,23,339.7606605,0
24,24,340.8722328,0
25,25,345.0908582,0
26,26,349.0160313,0
27,27,349.1838217,0
28,28,350.4926635,0
29,29,352.5739724,0
30,30,355.0572243,0
31,31,355.9158784,0
32,32,355.9623064,0
33,33,356.5210568,0
34,34,356.0222344,0
35,35,356.0388455,0
36,36,355.6174911,0
37,37,356.1517485,0
38,38,355.3752143,0
39,39,353.5894067,0
40,40,352.9206492,0
41,41,349.5153354,0
42,42,348.136006,0
43,43,348.5422657,0
44,44,345.1651196,0
45,45,345.868069,0
46,46,336.638612,0
47,47,333.1326486,0
48,48,320.4655983,0
49,49,307.9081179,0
50,50,194.2634007,0
51,51,90.45009877,0
52,52,71.21347202,0
53,53,62.52385948,0
54,54,55.33874636,0
55,55,51.91231366,0
56,56,44.26567099,0
57,57,42.99580222,0
58,58,40.94554336,0
59,59,37.55001044,0
60,60,36.84923303,0
61,61,36.53400614,0
62,62,36.60831859,0
63,0,36.00163387,0
64,0.875,37.70322524,0
65,1.75,37.82595008,0
66,2.625,38.27947464,0
67,3.5,36.40609035,0
68,4.375,37.19164407,0
69,5.25,39.49806235,0
70,6.125,39.59278341,0
71,7,38.79255845,0
72,7.875,40.59772281,0
73,8.75,42.77783723,0
74,9.625,49.07029926,0
75,10.5,50.91510604,0
76,11.375,54.6543614,0
77,12.25,63.56762166,0
78,13.125,73.58182646,0
79,14,93.6280765,0
80,14.875,114.4251829,0
81,15.75,196.0299608,0
82,16.625,259.5325928,0
83,17.5,298.2636996,0
84,18.375,324.8457713,0
85,19.25,337.6210764,0
86,20.125,338.9719376,0
87,21,340.107962,0
88,21.875,343.1142697,0
89,22.75,342.8623997,0
90,23.625,344.6756373,0
91,24.5,346.1065346,0
92,25.375,346.5529831,0
93,26.25,348.8644011,0
94,27.125,350.1807834,0
95,28,351.5184214,0
96,28.875,352.3997753,0
97,29.75,353.9862133,0
98,30.625,355.2936582,0
99,31.5,354.1712158,0
100,32.375,353.2608609,0
101,33.25,353.1961517,0
102,34.125,353.5695955,0
103,35,352.5310415,0
104,35.875,351.4116828,0
105,36.75,350.9149095,0
106,37.625,348.7832757,0
107,38.5,346.3717409,0
108,39.375,345.3616378,0
109,40.25,345.1136337,0
110,41.125,343.441576,0
111,42,340.891238,0
112,42.875,331.484401,0
113,43.75,329.6816409,0
114,44.625,311.9235452,0
115,45.5,293.875385,0
116,46.375,258.7585821,0
117,47.25,189.8833097,0
118,48.125,110.0164597,0
119,49,87.77908499,0
120,49.875,71.24521874,0
121,50.75,59.07977757,0
122,51.625,55.7135325,0
123,52.5,50.56807779,0
124,53.375,48.543719,0
125,54.25,47.42064465,0
126,55.125,45.31517054,0
127,56,43.56339094,0
128,56.875,43.78427926,0
129,57.75,42.86985354,0
130,58.625,43.02413385,0
131,59.5,42.8932401,0
132,60.375,43.5566154,0
133,61.25,43.89145859,0
134,62.125,43.52587954,0
135,0,43.33332285,0
136,0.9264705882,44.77889141,0
137,1.852941176,45.58777705,0
138,2.779411765,46.97310334,0
139,3.705882353,50.22170523,0
140,4.632352941,51.62724888,0
141,5.558823529,53.88995395,0
142,6.485294118,56.8330005,0
143,7.411764706,63.97546592,0
144,8.338235294,68.35645854,0
145,9.264705882,75.32265043,0
146,10.19117647,95.20054997,0
147,11.11764706,108.7755783,0
148,12.04411765,167.2260149,0
149,12.97058824,267.5581197,0
150,13.89705882,294.6580837,0
151,14.82352941,325.1805325,0
152,15.75,338.7417365,0
153,16.67647059,341.218691,0
154,17.60294118,342.6927687,0
155,18.52941176,345.4642783,0
156,19.45588235,347.2380784,0
157,20.38235294,347.4487078,0
158,21.30882353,350.3054481,0
159,22.23529412,354.7906557,0
160,23.16176471,352.4479591,0
161,24.08823529,351.595975,0
162,25.01470588,352.2163474,0
163,25.94117647,348.426371,0
164,26.86764706,347.7095154,0
165,27.79411765,348.4810262,0
166,28.72058824,349.128897,0
167,29.64705882,349.4512136,0
168,30.57352941,349.2555833,0
169,31.5,349.2248065,0
170,32.42647059,349.8455068,0
171,33.35294118,349.4633304,0
172,34.27941176,349.1264791,0
173,35.20588235,348.784068,0
174,36.13235294,348.1641874,0
175,37.05882353,348.4308926,0
176,37.98529412,349.2321011,0
177,38.91176471,347.426486,0
178,39.83823529,344.5017443,0
179,40.76470588,343.1575495,0
180,41.69117647,337.5915327,0
181,42.61764706,336.9749305,0
182,43.54411765,329.7597372,0
183,44.47058824,304.7777876,0
184,45.39705882,276.5580278,0
185,46.32352941,136.1427529,0
186,47.25,93.68028647,0
187,48.17647059,78.44585005,0
188,49.10294118,71.51716956,0
189,50.02941176,63.95696977,0
190,50.95588235,58.27791336,0
191,51.88235294,49.95726763,0
192,52.80882353,50.59640941,0
193,53.73529412,46.18634751,0
194,54.66176471,42.58058136,0
195,55.58823529,44.65337985,0
196,56.51470588,44.27047945,0
197,57.44117647,43.04181038,0
198,58.36764706,42.59620884,0
199,59.29411765,42.63074227,0
200,60.22058824,42.13424216,0
201,61.14705882,44.16480276,0
202,62.07352941,44.90453957,0
203,0,44.15723491,0
204,0.9264705882,44.673324,0
205,1.852941176,44.74714469,0
206,2.779411765,45.19291015,0
207,3.705882353,44.81943541,0
208,4.632352941,43.25931092,0
209,5.558823529,43.83362055,0
210,6.485294118,46.91564779,0
211,7.411764706,49.35601974,0
212,8.338235294,53.10448219,0
213,9.264705882,55.77038699,0
214,10.19117647,60.08572783,0
215,11.11764706,64.64214702,0
216,12.04411765,73.36342433,0
217,12.97058824,83.77197693,0
218,13.89705882,92.71392398,0
219,14.82352941,130.4412115,0
220,15.75,231.6941214,0
221,16.67647059,286.5718227,0
222,17.60294118,322.8680081,0
223,18.52941176,335.9793895,0
224,19.45588235,343.4763827,0
225,20.38235294,349.5084779,0
226,21.30882353,347.3774725,0
227,22.23529412,347.3715166,0
228,23.16176471,348.3416084,0
229,24.08823529,350.1704052,0
230,25.01470588,353.1970806,0
231,25.94117647,353.4971308,0
232,26.86764706,353.6571621,0
233,27.79411765,355.7799676,0
234,28.72058824,354.4344786,0
235,29.64705882,355.9561045,0
236,30.57352941,355.6793353,0
237,31.5,356.0430802,0
238,32.42647059,355.5297541,0
239,33.35294118,355.0709976,0
240,34.27941176,354.864695,0
241,35.20588235,354.2982674,0
242,36.13235294,352.9433117,0
243,37.05882353,351.3839932,0
244,37.98529412,351.3353213,0
245,38.91176471,349.4396569,0
246,39.83823529,348.4041046,0
247,40.76470588,346.8738281,0
248,41.69117647,346.359064,0
249,42.61764706,341.6908619,0
250,43.54411765,336.6001171,0
251,44.47058824,321.9380915,0
252,45.39705882,276.8446635,0
253,46.32352941,234.4551708,0
254,47.25,144.809416,0
255,48.17647059,99.44534862,0
256,49.10294118,81.63516591,0
257,50.02941176,64.64722868,0
258,50.95588235,65.37338708,0
259,51.88235294,55.56277656,0
260,52.80882353,49.83000754,0
261,53.73529412,49.43309159,0
262,54.66176471,46.82458771,0
263,55.58823529,44.82804145,0
264,56.51470588,42.56274091,0
265,57.44117647,41.15413734,0
266,58.36764706,41.33109388,0
267,59.29411765,42.60806604,0
268,60.22058824,42.14905001,0
269,61.14705882,41.68252077,0
270,62.07352941,42.34070512,0
271,0,42.64628778,0
272,0.875,42.25904338,0
273,1.75,41.43884694,0
274,2.625,40.32659162,0
275,3.5,40.19561591,0
276,4.375,40.90030019,0
277,5.25,42.05039476,0
278,6.125,45.24973733,0
279,7,47.3587085,0
280,7.875,49.28244494,0
281,8.75,53.01413245,0
282,9.625,55.77347424,0
283,10.5,63.64302695,0
284,11.375,69.90199374,0
285,12.25,81.64860772,0
286,13.125,102.9965279,0
287,14,129.686421,0
288,14.875,215.9799325,0
289,15.75,269.482102,0
290,16.625,301.7689117,0
291,17.5,308.9776163,0
292,18.375,336.4919132,0
293,19.25,339.5474393,0
294,20.125,345.9645113,0
295,21,349.3715599,0
296,21.875,349.2679869,0
297,22.75,350.967461,0
298,23.625,354.1132548,0
299,24.5,354.1450016,0
300,25.375,354.6166225,0
301,26.25,355.9107694,0
302,27.125,355.7733697,0
303,28,356.8771146,0
304,28.875,356.2313202,0
305,29.75,356.9414959,0
306,30.625,356.7314676,0
307,31.5,356.8943949,0
308,32.375,356.6282908,0
309,33.25,356.4834634,0
310,34.125,356.4756124,0
311,35,355.8730358,0
312,35.875,355.9860108,0
313,36.75,354.409767,0
314,37.625,353.6943047,0
315,38.5,352.8948447,0
316,39.375,352.5949721,0
317,40.25,348.5522651,0
318,41.125,345.5745485,0
319,42,340.4617694,0
320,42.875,338.2010451,0
321,43.75,332.015776,0
322,44.625,314.2880747,0
323,45.5,275.5732921,0
324,46.375,216.8602893,0
325,47.25,103.9545849,0
326,48.125,83.24405795,0
327,49,69.91964295,0
328,49.875,59.97546125,0
329,50.75,57.26330242,0
330,51.625,51.14246937,0
331,52.5,46.83054363,0
332,53.375,45.12239528,0
333,54.25,44.21015522,0
334,55.125,43.15625703,0
335,56,42.31037908,0
336,56.875,42.03487657,0
337,57.75,42.06435567,0
338,58.625,41.89392879,0
339,59.5,41.42540513,0
340,60.375,42.22838949,0
341,61.25,42.42785833,0
342,62.125,40.46054529,0
343,0,41.75582236,0
344,0.984375,41.81797708,0
345,1.96875,42.68131299,0
346,2.953125,42.83351693,0
347,3.9375,43.76100198,0
348,4.921875,46.72803615,0
349,5.90625,46.90551179,0
350,6.890625,50.06685118,0
351,7.875,53.44041822,0
352,8.859375,58.23911788,0
353,9.84375,64.24615998,0
354,10.828125,69.96816461,0
355,11.8125,80.03029002,0
356,12.796875,88.17417045,0
357,13.78125,104.3610358,0
358,14.765625,164.6002443,0
359,15.75,265.8470344,0
360,16.734375,307.2173126,0
361,17.71875,314.9094443,0
362,18.703125,323.017357,0
363,19.6875,329.2645349,0
364,20.671875,327.472867,0
365,21.65625,331.5440695,0
366,22.640625,337.0868227,0
367,23.625,338.9220535,0
368,24.609375,340.7082436,0
369,25.59375,341.0031439,0
370,26.578125,343.1645162,0
371,27.5625,343.303374,0
372,28.546875,342.80309,0
373,29.53125,343.5791497,0
374,30.515625,343.769753,0
375,31.5,343.0508209,0
376,32.484375,343.299836,0
377,33.46875,341.742225,0
378,34.453125,342.5910126,0
379,35.4375,341.5687791,0
380,36.421875,340.6107358,0
381,37.40625,340.517777,0
382,38.390625,340.0800438,0
383,39.375,339.3860556,0
384,40.359375,337.848703,0
385,41.34375,335.5626113,0
386,42.328125,332.298177,0
387,43.3125,326.4617941,0
388,44.296875,321.7273392,0
389,45.28125,299.4537781,0
390,46.265625,265.1337577,0
391,47.25,241.715375,0
392,48.234375,140.5120522,0
393,49.21875,96.70723506,0
394,50.203125,76.83832405,0
395,51.1875,66.31322111,0
396,52.171875,60.72650886,0
397,53.15625,51.68489568,0
398,54.140625,47.39255892,0
399,55.125,45.46939621,0
400,56.109375,43.69830084,0
401,57.09375,41.04695801,0
402,58.078125,38.82774758,0
403,59.0625,38.99904873,0
404,60.046875,40.09532141,0
405,61.03125,40.49901291,0
406,62.015625,41.81215776,0
407,0,42.58965185,0
408,0.8873239437,45.34087937,0
409,1.774647887,42.55916189,0
410,2.661971831,42.65880069,0
411,3.549295775,43.39870142,0
412,4.436619718,43.36501493,0
413,5.323943662,44.66676702,0
414,6.211267606,43.84695308,0
415,7.098591549,45.33467756,0
416,7.985915493,48.18193754,0
417,8.873239437,50.38543853,0
418,9.76056338,53.93049795,0
419,10.64788732,59.79388751,0
420,11.53521127,67.40099703,0
421,12.42253521,73.69684684,0
422,13.30985915,81.85875898,0
423,14.1971831,94.07206612,0
424,15.08450704,118.6366502,0
425,15.97183099,264.7511988,0
426,16.85915493,311.33675,0
427,17.74647887,333.3705404,0
428,18.63380282,330.278104,0
429,19.52112676,330.9489925,0
430,20.4084507,332.9832141,0
431,21.29577465,334.7678195,0
432,22.18309859,341.6786732,0
433,23.07042254,342.7651241,0
434,23.95774648,343.7884094,0
435,24.84507042,344.4277288,0
436,25.73239437,346.5165919,0
437,26.61971831,346.1329538,0
438,27.50704225,348.9342056,0
439,28.3943662,349.9488575,0
440,29.28169014,353.1732259,0
441,30.16901408,353.4103428,0
442,31.05633803,353.9208994,0
443,31.94366197,351.1792888,0
444,32.83098592,353.1840723,0
445,33.71830986,354.0991127,0
446,34.6056338,353.6328294,0
447,35.49295775,351.5803029,0
448,36.38028169,350.7729745,0
449,37.26760563,350.860237,0
450,38.15492958,348.8728295,0
451,39.04225352,349.0976247,0
452,39.92957746,345.7913214,0
453,40.81690141,344.642224,0
454,41.70422535,342.3232792,0
455,42.5915493,338.7068752,0
456,43.47887324,343.1907578,0
457,44.36619718,327.6564351,0
458,45.25352113,309.8913043,0
459,46.14084507,144.4342201,0
460,47.02816901,100.9836711,0
461,47.91549296,80.50605367,0
462,48.8028169,66.21008525,0
463,49.69014085,60.75869271,0
464,50.57746479,49.92601268,0
465,51.46478873,44.76105095,0
466,52.35211268,40.40825336,0
467,53.23943662,39.29648981,0
468,54.12676056,41.55006974,0
469,55.01408451,40.39546724,0
470,55.90140845,40.73902576,0
471,56.78873239,40.63517956,0
472,57.67605634,40.16701108,0
473,58.56338028,39.54035488,0
474,59.45070423,40.77497988,0
475,60.33802817,42.40731312,0
476,61.22535211,44.0009875,0
477,62.11267606,44.62064959,0
478,0,44.52994467,0
479,0.875,44.12046117,0
480,1.75,44.91645142,0
481,2.625,44.17523929,0
482,3.5,43.97180893,0
483,4.375,44.24851356,0
484,5.25,45.10575694,0
485,6.125,47.15238214,0
486,7,53.17751058,0
487,7.875,53.56907166,0
488,8.75,59.13368142,0
489,9.625,68.26496132,0
490,10.5,72.04604476,0
491,11.375,83.47418068,0
492,12.25,107.2582108,0
493,13.125,137.6997628,0
494,14,284.4269248,0
495,14.875,320.3980068,0
496,15.75,326.5414614,0
497,16.625,333.8940061,0
498,17.5,332.5266979,0
499,18.375,334.9879702,0
500,19.25,335.9828829,0
501,20.125,341.0988585,0
502,21,342.9332151,0
503,21.875,345.9016289,0
504,22.75,347.4428065,0
505,23.625,350.7695321,0
506,24.5,352.6903999,0
507,25.375,352.9897843,0
508,26.25,353.1405539,0
509,27.125,354.205558,0
510,28,353.8778592,0
511,28.875,354.2571806,0
512,29.75,354.3335421,0
513,30.625,354.6870727,0
514,31.5,356.4869095,0
515,32.375,356.7255427,0
516,33.25,356.7560326,0
517,34.125,356.519923,0
518,35,355.9397804,0
519,35.875,355.177422,0
520,36.75,352.3667991,0
521,37.625,352.5150589,0
522,38.5,350.376431,0
523,39.375,348.5439596,0
524,40.25,347.204942,0
525,41.125,343.6208958,0
526,42,340.5150449,0
527,42.875,334.137547,0
528,43.75,327.7423043,0
529,44.625,307.7523077,0
530,45.5,260.2338756,0
531,46.375,142.0497191,0
532,47.25,95.8773944,0
533,48.125,79.57187504,0
534,49,57.40553428,0
535,49.875,54.23796575,0
536,50.75,49.20865158,0
537,51.625,43.95467882,0
538,52.5,40.2264064,0
539,53.375,37.95402979,0
540,54.25,37.34767291,0
541,55.125,37.86157635,0
542,56,36.74333777,0
543,56.875,37.14323169,0
544,57.75,35.95185545,0
545,58.625,37.25461841,0
546,59.5,39.76345618,0
547,60.375,40.36705366,0
548,61.25,41.71866613,0
549,62.125,42.99317943,0
550,0,43.81580741,0
551,0.9545454545,45.15867725,0
552,1.909090909,45.86377134,0
553,2.863636364,46.32035582,0
554,3.818181818,47.9033751,0
555,4.772727273,51.09856492,0
556,5.727272727,53.9575455,0
557,6.681818182,57.70797505,0
558,7.636363636,65.38349576,0
559,8.590909091,72.57735152,0
560,9.545454545,84.15138027,0
561,10.5,97.93535772,0
562,11.45454545,110.200547,0
563,12.40909091,215.4994697,0
564,13.36363636,287.6404468,0
565,14.31818182,280.5629365,0
566,15.27272727,319.4521485,0
567,16.22727273,333.0268353,0
568,17.18181818,337.7607848,0
569,18.13636364,340.477069,0
570,19.09090909,343.5185523,0
571,20.04545455,344.3164276,0
572,21,348.0866921,0
573,21.95454545,350.917464,0
574,22.90909091,352.4325639,0
575,23.86363636,354.1221887,0
576,24.81818182,354.6157792,0
577,25.77272727,353.6476682,0
578,26.72727273,354.4564309,0
579,27.68181818,353.736324,0
580,28.63636364,354.8495083,0
581,29.59090909,354.3262748,0
582,30.54545455,354.078776,0
583,31.5,354.5004309,0
584,32.45454545,351.9051366,0
585,33.40909091,351.5847598,0
586,34.36363636,351.0461584,0
587,35.31818182,349.8631833,0
588,36.27272727,349.3705627,0
589,37.22727273,346.9287291,0
590,38.18181818,344.7842,0
591,39.13636364,340.8658161,0
592,40.09090909,337.1912426,0
593,41.04545455,334.879046,0
594,42,322.8145687,0
595,42.95454545,299.5934008,0
596,43.90909091,259.824078,0
597,44.86363636,167.6691849,0
598,45.81818182,105.7689563,0
599,46.77272727,84.33803568,0
600,47.72727273,69.48710073,0
601,48.68181818,64.19731046,0
602,49.63636364,53.92874942,0
603,50.59090909,50.10673949,0
604,51.54545455,46.64164792,0
605,52.5,44.44164399,0
606,53.45454545,43.13866246,0
607,54.40909091,42.50790815,0
608,55.36363636,42.42408807,0
609,56.31818182,43.55065947,0
610,57.27272727,45.76683729,0
611,58.22727273,47.20016615,0
612,59.18181818,47.94227986,0
613,60.13636364,47.35373612,0
614,61.09090909,46.36707431,0
615,62.04545455,47.20486532,0
616,0,49.20821444,0
617,0.9402985075,50.9663871,0
618,1.880597015,54.86989485,0
619,2.820895522,57.38941503,0
620,3.76119403,65.00742554,0
621,4.701492537,69.84298091,0
622,5.641791045,78.72586049,0
623,6.582089552,98.57031942,0
624,7.52238806,122.1311662,0
625,8.462686567,190.4088791,0
626,9.402985075,309.0602616,0
627,10.34328358,316.8113925,0
628,11.28358209,337.2099163,0
629,12.2238806,337.7104872,0
630,13.1641791,342.5616291,0
631,14.10447761,343.475727,0
632,15.04477612,346.0209833,0
633,15.98507463,347.2770688,0
634,16.92537313,349.4805288,0
635,17.86567164,350.1104361,0
636,18.80597015,352.1036493,0
637,19.74626866,351.4925932,0
638,20.68656716,351.4352606,0
639,21.62686567,353.341744,0
640,22.56716418,354.3590187,0
641,23.50746269,353.5971111,0
642,24.44776119,352.7129158,0
643,25.3880597,353.2487578,0
644,26.32835821,352.7438292,0
645,27.26865672,353.3152292,0
646,28.20895522,354.0236837,0
647,29.14925373,353.036134,0
648,30.08955224,352.5742766,0
649,31.02985075,352.0496908,0
650,31.97014925,351.6893573,0
651,32.91044776,351.1450459,0
652,33.85074627,349.3757537,0
653,34.79104478,348.048566,0
654,35.73134328,345.2757687,0
655,36.67164179,340.6161727,0
656,37.6119403,338.0976497,0
657,38.55223881,330.075333,0
658,39.49253731,306.6694358,0
659,40.43283582,270.5965157,0
660,41.37313433,144.5123028,0
661,42.31343284,89.35655816,0
662,43.25373134,81.92520306,0
663,44.19402985,73.8802784,0
664,45.13432836,65.1988894,0
665,46.07462687,57.97888768,0
666,47.01492537,48.9539948,0
667,47.95522388,45.82773526,0
668,48.89552239,46.61192294,0
669,49.8358209,46.47728625,0
670,50.7761194,46.35603673,0
671,51.71641791,44.08644683,0
672,52.65671642,44.91227134,0
673,53.59701493,45.31844903,0
674,54.53731343,44.43407614,0
675,55.47761194,42.95148796,0
676,56.41791045,44.82520009,0
677,57.35820896,46.05985241,0
678,58.29850746,46.20372351,0
679,59.23880597,45.50461267,0
680,60.17910448,44.547348,0
681,61.11940299,45.13365143,0
682,62.05970149,45.7086714,0
683,0,45.6608874,0
684,0.8873239437,45.62048,0
685,1.774647887,47.31308284,0
686,2.661971831,49.19225912,0
687,3.549295775,52.91700716,0
688,4.436619718,56.27494672,0
689,5.323943662,59.48185714,0
690,6.211267606,68.35714156,0
691,7.098591549,73.77206089,0
692,7.985915493,84.22020126,0
693,8.873239437,90.68352731,0
694,9.76056338,109.4402923,0
695,10.64788732,241.5055516,0
696,11.53521127,284.5743339,0
697,12.42253521,301.6381272,0
698,13.30985915,325.2534926,0
699,14.1971831,331.6268787,0
700,15.08450704,338.1806775,0
701,15.97183099,339.0078544,0
702,16.85915493,340.7816408,0
703,17.74647887,342.1757234,0
704,18.63380282,345.1972625,0
705,19.52112676,349.6049202,0
706,20.4084507,349.4571832,0
707,21.29577465,350.9063444,0
708,22.18309859,350.5794926,0
709,23.07042254,353.5802405,0
710,23.95774648,354.5579685,0
711,24.84507042,354.4705967,0
712,25.73239437,355.0989058,0
713,26.61971831,355.3147124,0
714,27.50704225,355.2689912,0
715,28.3943662,353.8313046,0
716,29.28169014,352.1117908,0
717,30.16901408,353.4627066,0
718,31.05633803,352.1006167,0
719,31.94366197,350.4992925,0
720,32.83098592,347.2781616,0
721,33.71830986,345.7662036,0
722,34.6056338,345.0674343,0
723,35.49295775,342.1074079,0
724,36.38028169,339.7714968,0
725,37.26760563,333.7711756,0
726,38.15492958,317.5898291,0
727,39.04225352,306.4007362,0
728,39.92957746,236.39392,0
729,40.81690141,134.3125354,0
730,41.70422535,108.1601782,0
731,42.5915493,87.15669083,0
732,43.47887324,70.44799906,0
733,44.36619718,69.0182219,0
734,45.25352113,53.00060868,0
735,46.14084507,50.28355943,0
736,47.02816901,47.67150384,0
737,47.91549296,44.76930182,0
738,48.8028169,46.1043306,0
739,49.69014085,46.47223191,0
740,50.57746479,47.98692198,0
741,51.46478873,47.99091081,0
742,52.35211268,47.32819121,0
743,53.23943662,46.2227934,0
744,54.12676056,46.29308971,0
745,55.01408451,47.17030456,0
746,55.90140845,47.51826172,0
747,56.78873239,47.06566606,0
748,57.67605634,44.21160322,0
749,58.56338028,46.78789593,0
750,59.45070423,45.95666191,0
751,60.33802817,44.8090262,0
752,61.22535211,44.94109474,0
753,62.11267606,43.90145799,0
754,0,41.66872379,0
755,0.9264705882,41.41592483,0
756,1.852941176,41.34136648,0
757,2.779411765,41.29257161,0
758,3.705882353,40.4453003,0
759,4.632352941,42.08449106,0
760,5.558823529,41.31054867,0
761,6.485294118,40.62829473,0
762,7.411764706,39.49431941,0
763,8.338235294,40.2061344,0
764,9.264705882,40.65124417,0
765,10.19117647,43.27933704,0
766,11.11764706,44.62308113,0
767,12.04411765,44.46795388,0
768,12.97058824,47.62205327,0
769,13.89705882,51.34857716,0
770,14.82352941,53.78149055,0
771,15.75,56.99667915,0
772,16.67647059,65.23946073,0
773,17.60294118,77.5425712,0
774,18.52941176,102.581471,0
775,19.45588235,195.7414537,0
776,20.38235294,283.7287292,0
777,21.30882353,308.3525447,0
778,22.23529412,331.45693,0
779,23.16176471,341.5414821,0
780,24.08823529,344.3694946,0
781,25.01470588,343.6868308,0
782,25.94117647,349.3239089,0
783,26.86764706,350.1354993,0
784,27.79411765,349.7476812,0
785,28.72058824,351.8939998,0
786,29.64705882,352.3648321,0
787,30.57352941,354.4668947,0
788,31.5,356.2414462,0
789,32.42647059,355.1145469,0
790,33.35294118,353.8264006,0
791,34.27941176,354.4948302,0
792,35.20588235,355.117207,0
793,36.13235294,354.8533295,0
794,37.05882353,354.9926654,0
795,37.98529412,354.0269486,0
796,38.91176471,353.744411,0
797,39.83823529,353.7587953,0
798,40.76470588,353.2437718,0
799,41.69117647,352.7582683,0
800,42.61764706,350.1922481,0
801,43.54411765,348.5805557,0
802,44.47058824,347.5901783,0
803,45.39705882,346.4483346,0
804,46.32352941,343.821717,0
805,47.25,341.0592334,0
806,48.17647059,333.2178347,0
807,49.10294118,304.422126,0
808,50.02941176,298.0552832,0
809,50.95588235,137.8363666,0
810,51.88235294,85.98697995,0
811,52.80882353,69.79689079,0
812,53.73529412,57.10883086,0
813,54.66176471,51.51506985,0
814,55.58823529,48.29015506,0
815,56.51470588,42.04236246,0
816,57.44117647,40.47628204,0
817,58.36764706,39.74815656,0
818,59.29411765,38.86228102,0
819,60.22058824,38.49733035,0
820,61.14705882,36.54763919,0
821,62.07352941,37.77343958,0
822,0,43.4267052,0
823,1,43.24551394,0
824,2,43.58199638,0
825,3,45.78664484,0
826,4,50.76577078,0
827,5,56.58670388,0
828,6,60.52673948,0
829,7,70.4190937,0
830,8,78.41516884,0
831,9,93.02726574,0
832,10,113.7916146,0
833,11,150.3510764,0
834,12,223.8691562,0
835,13,252.8201288,0
836,14,290.3013792,0
837,15,322.3550062,0
838,16,336.9507926,0
839,17,342.1315048,0
840,18,341.584953,0
841,19,347.3587715,0
842,20,349.4530031,0
843,21,351.3903826,0
844,22,351.1182852,0
845,23,354.1595735,0
846,24,355.3535316,0
847,25,355.6879413,0
848,26,356.0901848,0
849,27,355.4130535,0
850,28,355.1022389,0
851,29,355.145556,0
852,30,353.3552404,0
853,31,356.2954147,0
854,32,353.8929676,0
855,33,354.6641233,0
856,34,354.1111648,0
857,35,353.5526739,0
858,36,353.1582678,0
859,37,349.6679728,0
860,38,346.071769,0
861,39,344.5385591,0
862,40,339.5549115,0
863,41,333.0183795,0
864,42,325.2769748,0
865,43,295.5596414,0
866,44,278.3155174,0
867,45,211.4415724,0
868,46,124.456108,0
869,47,86.2884645,0
870,48,78.89989371,0
871,49,67.14306177,0
872,50,62.08022503,0
873,51,57.89340103,0
874,52,51.71604134,0
875,53,53.17073503,0
876,54,49.42749084,0
877,55,45.02130848,0
878,56,43.14284254,0
879,57,42.67800718,0
880,58,42.54028325,0
881,59,42.75073504,0
882,60,39.37705872,0
883,61,40.70386395,0
884,62,41.32718701,0
885,0,42.98779724,0
886,0.9692307692,42.99186803,0
